STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
25,017,312502,3960,+42.637354,-071.286580
25,017,313101,5488,+42.653999,-071.447067
25,017,313102,5804,+42.681912,-071.394940
25,017,314101,6055,+42.680793,-071.361473
25,017,314102,7223,+42.676689,-071.342148
25,017,314200,5233,+42.673440,-071.320776
25,017,314301,8011,+42.668749,-071.285274
25,017,314302,2935,+42.704185,-071.259767
25,017,315100,5456,+42.628857,-071.262990
25,017,315200,7585,+42.614476,-071.235124
25,017,315401,3532,+42.599855,-071.204925
25,017,315402,2921,+42.610120,-071.188844
25,017,315403,1745,+42.585119,-071.189948
25,017,315500,7722,+42.582811,-071.212340
25,017,316101,5108,+42.571393,-071.231232
25,017,316102,6060,+42.561485,-071.258098
25,017,316201,4104,+42.541446,-071.236487
25,017,316202,4290,+42.531838,-071.223602
25,017,316300,8172,+42.540813,-071.272026
25,017,316400,6570,+42.555842,-071.298392
25,017,316500,5939,+42.588655,-071.281548
25,017,317101,6139,+42.586456,-071.368454
25,017,317102,4353,+42.595777,-071.322873
25,017,317103,4895,+42.570085,-071.352792
25,017,317201,2849,+42.603054,-071.394293
25,017,317202,3388,+42.608576,-071.374732
25,017,317203,4003,+42.613434,-071.349904
25,017,317301,2627,+42.629181,-071.374443
25,017,317302,5548,+42.638345,-071.393037
25,017,318100,6674,+42.620004,-071.429493
25,017,318200,3853,+42.596845,-071.472563
25,017,318300,7516,+42.579983,-071.441718
25,017,318400,3908,+42.552200,-071.410438
25,017,320102,5040,+42.221958,-071.569208
25,017,320103,2795,+42.242457,-071.532031
25,017,320104,7090,+42.214191,-071.508405
25,017,321100,6992,+42.354995,-071.503539
25,017,321200,6267,+42.344661,-071.530034
25,017,321300,7497,+42.341318,-071.554157
25,017,321400,3297,+42.342645,-071.588596
25,017,321500,6898,+42.352439,-071.563602
25,017,321600,7548,+42.362248,-071.534629
25,017,322100,4671,+42.385227,-071.529126
25,017,322200,3687,+42.379959,-071.574047
25,017,322300,6090,+42.397930,-071.577178
25,017,322400,4615,+42.399067,-071.558818
25,017,323100,6590,+42.430916,-071.513396
25,017,324101,4761,+42.530440,-071.470141
